group,protein_heavy_atom_order,atom_index,rmsf_nm
PME,0,0,0.34898883
PME,1,1,0.26404992
PME,2,2,0.23739253
PME,3,3,0.25598112
PME,4,4,0.26382098
PME,5,12,0.22392936
PME,6,13,0.20723847
PME,7,14,0.19272539
PME,8,15,0.19970173
PME,9,16,0.20320706
PME,10,17,0.2459017
PME,11,18,0.29422593
PME,12,19,0.29727775
PME,13,24,0.1909086
PME,14,25,0.1913322
PME,15,26,0.164265
PME,16,27,0.16692784
PME,17,28,0.22713454
PME,18,29,0.23828071
PME,19,30,0.26770675
PME,20,31,0.3452817
PME,21,32,0.26747417
PME,22,41,0.16630538
PME,23,42,0.15779883
PME,24,43,0.1450686
PME,25,44,0.1320096
PME,26,45,0.17013691
PME,27,46,0.18356588
PME,28,47,0.22511126
PME,29,48,0.2124699
PME,30,60,0.15440781
PME,31,61,0.15046443
PME,32,62,0.13528
PME,33,63,0.12487063
PME,34,64,0.17964049
PME,35,65,0.20221195
PME,36,66,0.19606058
PME,37,74,0.1419021
PME,38,75,0.13854682
PME,39,76,0.12166182
PME,40,77,0.1153031
PME,41,78,0.158954
PME,42,79,0.17252994
PME,43,80,0.21812986
PME,44,81,0.2766047
PME,45,82,0.25677904
PME,46,89,0.12021751
PME,47,90,0.112812966
PME,48,91,0.09376808
PME,49,92,0.08438444
PME,50,93,0.12585066
PME,51,94,0.13421954
PME,52,95,0.1679206
PME,53,96,0.20075423
PME,54,97,0.22991675
PME,55,104,0.094906546
PME,56,105,0.08699189
PME,57,106,0.07717948
PME,58,107,0.07186154
PME,59,108,0.104040995
PME,60,109,0.13581361
PME,61,110,0.15270914
PME,62,111,0.14655702
PME,63,112,0.20380448
PME,64,121,0.08266353
PME,65,122,0.07943417
PME,66,123,0.07380303
PME,67,124,0.07309835
PME,68,125,0.093636476
PME,69,126,0.10721189
PME,70,127,0.101833366
PME,71,128,0.17033452
PME,72,140,0.07684448
PME,73,141,0.07930457
PME,74,142,0.06969919
PME,75,143,0.069604136
PME,76,144,0.094117805
PME,77,150,0.06706887
PME,78,151,0.061190907
PME,79,152,0.05675079
PME,80,153,0.058015663
PME,81,154,0.067416
PME,82,155,0.06860436
PME,83,156,0.09956328
PME,84,157,0.17045516
PME,85,158,0.091128916
PME,86,165,0.056390863
PME,87,166,0.057009846
PME,88,167,0.056762956
PME,89,168,0.05940666
PME,90,169,0.06121966
PME,91,170,0.070179746
PME,92,171,0.08364527
PME,93,172,0.096440986
PME,94,173,0.10308833
PME,95,174,0.112325184
PME,96,175,0.108031295
PME,97,185,0.058344882
PME,98,186,0.058750797
PME,99,187,0.05813415
PME,100,188,0.057863466
PME,101,189,0.06688857
PME,102,190,0.13335924
PME,103,191,0.16238837
PME,104,192,0.2352601
PME,105,193,0.24860066
PME,106,207,0.062163413
PME,107,208,0.062123615
PME,108,209,0.06294828
PME,109,210,0.07129945
PME,110,211,0.069971174
PME,111,212,0.12203282
PME,112,213,0.13944285
PME,113,214,0.16759117
PME,114,215,0.1829367
PME,115,222,0.061417926
PME,116,223,0.062688634
PME,117,224,0.06545313
PME,118,225,0.080757156
PME,119,226,0.06680323
PME,120,232,0.05710511
PME,121,233,0.05764652
PME,122,234,0.05690561
PME,123,235,0.05888864
PME,124,236,0.061351582
PME,125,237,0.061390042
PME,126,238,0.060795505
PME,127,239,0.08236207
PME,128,240,0.06807727
PME,129,241,0.08724916
PME,130,242,0.07595658
PME,131,252,0.05902546
PME,132,253,0.060207378
PME,133,254,0.060052767
PME,134,255,0.070491284
PME,135,256,0.06907294
PME,136,257,0.11812506
PME,137,263,0.05864607
PME,138,264,0.060353383
PME,139,265,0.047695473
PME,140,266,0.060070667
PME,141,267,0.07267777
PME,142,268,0.08199855
PME,143,269,0.12302189
PME,144,270,0.122447945
PME,145,282,0.037761834
PME,146,283,0.040440965
PME,147,284,0.046572488
PME,148,285,0.06752832
PME,149,286,0.04768843
PME,150,287,0.054163158
PME,151,288,0.068983614
PME,152,289,0.06525487
PME,153,290,0.08510611
PME,154,291,0.08299202
PME,155,292,0.09096808
PME,156,302,0.044609405
PME,157,303,0.048794106
PME,158,304,0.063761
PME,159,305,0.077046625
PME,160,306,0.050356004
PME,161,307,0.06447255
PME,162,308,0.08192053
PME,163,309,0.07260234
PME,164,314,0.075226314
PME,165,315,0.09165128
PME,166,316,0.10044582
PME,167,317,0.11427384
PME,168,318,0.10227525
PME,169,319,0.12925996
PME,170,320,0.19478972
PME,171,321,0.2364444
PME,172,322,0.278456
PME,173,336,0.09726975
PME,174,337,0.10740943
PME,175,338,0.10479725
PME,176,339,0.1198002
PME,177,340,0.11511769
PME,178,341,0.11138931
PME,179,342,0.15277709
PME,180,343,0.08985099
PME,181,348,0.09214475
PME,182,349,0.09397952
PME,183,350,0.09376136
PME,184,351,0.10654319
PME,185,355,0.08658347
PME,186,356,0.08942778
PME,187,357,0.087967694
PME,188,358,0.09956359
PME,189,359,0.09302877
PME,190,360,0.09203561
PME,191,361,0.07065072
PME,192,362,0.13381198
PME,193,367,0.08031646
PME,194,368,0.08247007
PME,195,369,0.07107463
PME,196,370,0.07918427
PME,197,374,0.062170647
PME,198,375,0.060311332
PME,199,376,0.05922434
PME,200,377,0.08003592
PME,201,378,0.06757674
PME,202,379,0.07568827
PME,203,380,0.07483481
PME,204,388,0.050622728
PME,205,389,0.047949754
PME,206,390,0.052614868
PME,207,391,0.059065435
PME,208,392,0.046780847
PME,209,393,0.048822798
PME,210,394,0.057770737
PME,211,395,0.055948853
PME,212,407,0.06073941
PME,213,408,0.0674448
PME,214,409,0.06781256
PME,215,410,0.06677145
PME,216,411,0.07639448
PME,217,412,0.09161008
PME,218,413,0.08111559
PME,219,421,0.076457575
PME,220,422,0.07901209
PME,221,423,0.08012655
PME,222,424,0.08474114
PME,223,425,0.08184799
PME,224,426,0.088381
PME,225,427,0.0861922
PME,226,435,0.08197663
PME,227,436,0.08629804
PME,228,437,0.07618629
PME,229,438,0.07868159
PME,230,439,0.09848405
PME,231,440,0.11673313
PME,232,441,0.13259174
PME,233,442,0.15997185
PME,234,443,0.19992103
PME,235,457,0.07076408
PME,236,458,0.0639802
PME,237,459,0.06280536
PME,238,460,0.06693923
PME,239,461,0.060621493
PME,240,462,0.069542326
PME,241,463,0.067868546
PME,242,464,0.091782875
PME,243,465,0.076872826
PME,244,472,0.06322759
PME,245,473,0.06480718
PME,246,474,0.06830656
PME,247,475,0.07037141
PME,248,476,0.07342668
PME,249,477,0.089737624
PME,250,478,0.14402178
PME,251,479,0.11676148
PME,252,491,0.07353468
PME,253,492,0.081218064
PME,254,493,0.07816822
PME,255,494,0.08355432
PME,256,498,0.07242245
PME,257,499,0.07151374
PME,258,500,0.067171104
PME,259,501,0.0724321
PME,260,502,0.07515287
PME,261,503,0.08606577
PME,262,504,0.08337196
PME,263,512,0.06471093
PME,264,513,0.061346855
PME,265,514,0.0671831
PME,266,515,0.07124117
PME,267,516,0.06317633
PME,268,517,0.071870014
PME,269,518,0.06584422
PME,270,528,0.070793055
PME,271,529,0.0735793
PME,272,530,0.07629742
PME,273,531,0.08437549
PME,274,532,0.07677663
PME,275,533,0.08030323
PME,276,534,0.12077068
PME,277,535,0.10616697
PME,278,545,0.0749641
PME,279,546,0.07947159
PME,280,547,0.0843673
PME,281,548,0.092371136
PME,282,549,0.0833667
PME,283,550,0.12825154
PME,284,551,0.14044161
PME,285,552,0.116158776
PME,286,553,0.15650158
PME,287,554,0.20966485
PME,288,555,0.23723182
PME,289,569,0.080619544
PME,290,570,0.087939836
PME,291,571,0.094273776
PME,292,572,0.10773409
PME,293,573,0.08605705
PME,294,574,0.09049386
PME,295,580,0.09126275
PME,296,581,0.10093427
PME,297,582,0.10988637
PME,298,583,0.13368623
PME,299,584,0.102687135
PME,300,585,0.099192604
PME,301,586,0.11068468
PME,302,587,0.1119503
PME,303,599,0.103510454
PME,304,600,0.10777135
PME,305,601,0.10202964
PME,306,602,0.10413452
PME,307,606,0.12411265
PME,308,607,0.14042658
PME,309,608,0.14576109
PME,310,609,0.19008864
PME,311,610,0.15004209
PME,312,611,0.19062382
PME,313,612,0.20677115
PME,314,613,0.26232362
PME,315,614,0.23288783
PME,316,623,0.12336303
PME,317,624,0.120225415
PME,318,625,0.1047309
PME,319,626,0.11495703
PME,320,627,0.14065161
PME,321,628,0.15260786
PME,322,629,0.16350676
PME,323,630,0.18516189
PME,324,637,0.111961104
PME,325,638,0.123127006
PME,326,639,0.11131903
PME,327,640,0.12488992
PME,328,641,0.1570269
PME,329,642,0.16213201
PME,330,643,0.13892585
PME,331,651,0.10874185
PME,332,652,0.097170055
PME,333,653,0.07779147
PME,334,654,0.075613774
PME,335,655,0.110162996
PME,336,656,0.113155544
PME,337,657,0.13506636
PME,338,665,0.07552794
PME,339,666,0.07204545
PME,340,667,0.062235594
PME,341,668,0.06185862
PME,342,669,0.08442791
PME,343,670,0.10935266
PME,344,671,0.11784324
PME,345,672,0.17776842
PME,346,673,0.14973387
PME,347,680,0.06697154
PME,348,681,0.07759618
PME,349,682,0.08025564
PME,350,683,0.08920802
PME,351,684,0.10107173
PME,352,690,0.08522964
PME,353,691,0.09788238
PME,354,692,0.087047756
PME,355,693,0.094646804
PME,356,694,0.11674645
PME,357,695,0.13584538
PME,358,696,0.15917823
PME,359,697,0.18979718
PME,360,698,0.18365039
PME,361,705,0.07671807
PME,362,706,0.071991764
PME,363,707,0.060034614
PME,364,708,0.06333817
PME,365,709,0.078892134
PME,366,710,0.09390303
PME,367,711,0.16473123
PME,368,712,0.12947755
PME,369,724,0.057424255
PME,370,725,0.06267763
PME,371,726,0.06662834
PME,372,727,0.06935997
PME,373,728,0.07699312
PME,374,729,0.103438705
PME,375,730,0.14724973
PME,376,731,0.22556654
PME,377,732,0.17330934
PME,378,741,0.07648501
PME,379,742,0.09091063
PME,380,743,0.088368736
PME,381,744,0.09856641
PME,382,745,0.11252953
PME,383,746,0.12836133
PME,384,747,0.13542524
PME,385,748,0.14526354
PME,386,753,0.08456468
PME,387,754,0.09232771
PME,388,755,0.07552842
PME,389,756,0.080553904
PME,390,757,0.10974109
PME,391,758,0.13755403
PME,392,759,0.13279673
PME,393,760,0.13048695
PME,394,770,0.06704924
PME,395,771,0.0665391
PME,396,772,0.066622816
PME,397,773,0.073165536
PME,398,774,0.07925543
PME,399,775,0.10527472
PME,400,776,0.08899551
PME,401,777,0.101324946
PME,402,789,0.07295712
PME,403,790,0.08815702
PME,404,791,0.09543444
PME,405,792,0.1084887
PME,406,793,0.10585079
PME,407,794,0.11323826
PME,408,795,0.15732217
PME,409,796,0.1283709
PME,410,803,0.0938939
PME,411,804,0.104058504
PME,412,805,0.09207107
PME,413,806,0.10128534
PME,414,807,0.11886621
PME,415,808,0.15623425
PME,416,809,0.13152269
PME,417,810,0.17707242
PME,418,811,0.17061317
PME,419,818,0.085759506
PME,420,819,0.08107865
PME,421,820,0.08289629
PME,422,821,0.09165985
PME,423,822,0.07758082
PME,424,823,0.07197197
PME,425,824,0.08755378
PME,426,834,0.08220505
PME,427,835,0.086883835
PME,428,836,0.09420676
PME,429,837,0.09617926
PME,430,838,0.09392274
PME,431,839,0.115223415
PME,432,840,0.1153058
PME,433,841,0.14542978
PME,434,846,0.12099954
PME,435,847,0.13242581
PME,436,848,0.13454513
PME,437,849,0.15017402
PME,438,850,0.14558908
PME,439,856,0.12866095
PME,440,857,0.13107875
PME,441,858,0.1313729
PME,442,859,0.14797346
PME,443,860,0.13029559
PME,444,861,0.15518682
PME,445,862,0.20239882
PME,446,863,0.16520979
PME,447,868,0.123536214
PME,448,869,0.12752402
PME,449,870,0.11944782
PME,450,871,0.13269807
PME,451,875,0.10706617
PME,452,876,0.10467941
PME,453,877,0.09827581
PME,454,878,0.11084103
PME,455,879,0.10945814
PME,456,880,0.109816544
PME,457,881,0.13759984
PME,458,882,0.1123983
PME,459,889,0.095489115
PME,460,890,0.09796062
PME,461,891,0.082185075
PME,462,892,0.079636104
PME,463,896,0.077184364
PME,464,897,0.06799791
PME,465,898,0.066282585
PME,466,899,0.07396143
PME,467,900,0.068341084
PME,468,901,0.07645114
PME,469,902,0.07438833
PME,470,910,0.06231945
PME,471,911,0.06085898
